"","County","Population","Households","Total Covid Deaths","Covid Deaths Per Thousand","Median Age","Median HHI","% A25+ College Grad+","Unemployment Rate","% of HH on Public Assist.","% Asian","% Black","% Native American","% Pacific Islander","% White","% Hispanic"
"1","Alcona",10396,1326,72,6.92,58.9,43341,18.4,6.1,35.1,0.3,0.4,0.6,0,95.5,1.6
"2","Alger",9098,1379,15,1.65,49.6,45184,19.3,4.7,22.8,0.8,6.9,3.9,0,83.5,1.7
"3","Allegan",117104,28264,367,3.11,40.2,65071,23.6,3.4,12.1,0.7,1.2,0.3,0,87.4,7.5
"4","Alpena",28431,5315,143,5.03,48.1,42603,18,7.5,30.2,0.5,0.6,0.3,0.1,95.2,1.4
"5","Antrim",23301,4204,70,3,51.6,57256,29.6,4.2,19.8,0.4,0.4,0.6,0,94.2,2.3
"6","Arenac",15013,2718,72,4.84,50,45679,12.9,6.8,30.5,0.2,0.4,1.3,0,94.5,2
"7","Baraga",8337,1472,55,6.7,45.8,46581,15.2,4.1,33,0.5,8.7,10.2,0,72.7,1.7
"8","Barry",61045,13487,176,2.86,42.2,65557,23,5.3,15.3,0.6,0.4,0.2,0,93.9,3.1
"9","Bay",103506,20887,606,5.88,43.6,48290,19.7,5.9,28.3,0.6,1.5,0.2,0.1,89.7,5.5
"10","Benzie",17703,3195,71,4,50.1,64257,32.5,4.9,15.6,0.4,0.3,1.5,0,93.6,2.5
"11","Berrien",153797,33461,591,3.85,42.3,52500,27.6,6.2,32.9,1.6,14.1,0.4,0,74.2,5.6
"12","Branch",43428,10109,189,4.34,41.3,52782,15,5.2,19.5,0.5,2.1,0.4,0,89.8,5
"13","Calhoun",133943,30462,602,4.49,40.1,50219,21.5,6.4,26.7,2.4,10.3,0.3,0,77,5.4
"14","Cass",51613,10692,149,2.88,45.5,57514,20.7,5.8,28,0.8,5,1,0,85.1,4
"15","Charlevoix",26197,4958,60,2.3,49.1,60433,32.4,4.8,19.9,0.4,0.5,1.4,0,93.6,2.1
"16","Cheboygan",25435,4192,109,4.31,51.6,49624,21.8,7.4,29,0.4,0.6,1.8,0,91.2,1.5
"17","Chippewa",37418,6795,106,2.84,40.8,50454,22.6,9,32.3,0.9,5.4,13.2,0.2,68.2,1.9
"18","Clare",30655,6081,160,5.17,47.7,41163,12.1,10,32.5,0.1,0.6,0.5,0,94.7,2.1
"19","Clinton",78957,17564,213,2.68,41.1,72490,32.1,3.4,11.7,1.3,1.8,0.1,0,89.1,4.6
"20","Crawford",13904,2532,34,2.42,50.9,49987,19.1,7.4,28.6,0.8,0.3,0.3,0,94,2.1
"21","Delta",35874,7053,164,4.58,47.5,47008,19.2,5.1,25,0.5,0.3,2.2,0,91.6,1.4
"22","Dickinson",25373,5009,115,4.56,47.4,51704,24.4,3.8,22.4,0.6,0.6,0.9,0,94.8,1.6
"23","Eaton",109730,22852,424,3.85,41.1,67440,29.2,4.6,18.4,2.4,6.8,0.4,0,82.4,5.5
"24","Emmet",33175,6364,94,2.81,45.7,55947,34.7,4,17.3,0.5,0.7,2.6,0.1,89.4,1.8
"25","Genesee",406770,91585,1807,4.45,40.5,50269,21.5,8.9,36.4,1,19.5,0.3,0,71.7,3.6
"26","Gladwin",25312,4808,119,4.68,50.6,45957,14.3,6.2,30.9,0.5,0.4,0.3,0,95.3,1.8
"27","Gogebic",14715,2307,71,5.08,50,38625,19.8,4.5,27.4,0.5,3.1,2.7,0.2,90.6,1.6
"28","Grand Traverse",92640,18671,247,2.65,43,66457,38.4,3.8,17.4,0.6,0.8,0.8,0.1,92.5,2.9
"29","Gratiot",40692,7962,192,4.72,40,49795,16.5,4.8,25.2,0.4,5.7,0.2,0,85.6,6.3
"30","Hillsdale",45707,9888,207,4.54,42.1,51535,18.9,4.1,22.2,0.4,0.6,0.4,0,94.3,2.4
"31","Houghton",35890,7209,100,2.8,33.2,44839,33.6,5.9,18.7,2.9,0.9,0.6,0.1,92,1.7
"32","Huron",31105,5959,149,4.81,49.3,49541,16,5.1,21,0.6,0.4,0.2,0,94.8,2.5
"33","Ingham",290923,56922,802,2.74,32.4,55253,39.2,6.7,27.2,6.6,11.3,0.3,0,69.1,8
"34","Ionia",64401,14353,182,2.81,38.6,60139,17,5.1,23.5,0.5,4.5,0.1,0,87.9,4.9
"35","Iosco",25213,4141,151,6.01,52.9,42628,15.4,7.4,31.6,0.7,0.7,1,0,93.3,2.5
"36","Iron",11099,1817,88,7.95,53.6,44183,18.9,5.2,27.2,0.5,1,1.1,0,94.2,2.2
"37","Isabella",70363,12067,221,3.16,28.7,46783,29.5,7.3,26.8,1.6,2.3,2.8,0,84.5,4
"38","Jackson",158174,34039,584,3.68,41.6,54511,22.5,6.3,24.9,0.9,7.8,0.3,0,84.2,3.6
"39","Kalamazoo",264322,56888,699,2.64,34.5,58836,39.8,6.2,23.4,2.4,10.6,0.2,0,76.8,5.1
