"","GEOID","NAME","population19E","householdsE","median_ageE","median_incomeE","bach_degree_plus_a25E","unemployment_rate","public_assist_rate","percent_asian","percent_black","percent_native","percent_pacific_islander","percent_white","percent_hispanic","County","state_name","Lat","Long_","Population","county_fips","Total_Deaths","Deaths_Per_Pop_Thousand"
"1","26001","Alcona County, Michigan",10396,1326,58.9,43341,18.4,6.1,35.1,0.3,0.4,0.6,0,95.5,1.6,"Alcona","Michigan",44.6846864,-83.59507875,10405,26001,72,6.92
"2","26003","Alger County, Michigan",9098,1379,49.6,45184,19.3,4.7,22.8,0.8,6.9,3.9,0,83.5,1.7,"Alger","Michigan",46.41292944,-86.60260122,9108,26003,14,1.54
"3","26005","Allegan County, Michigan",117104,28264,40.2,65071,23.6,3.4,12.1,0.7,1.2,0.3,0,87.4,7.5,"Allegan","Michigan",42.59147037,-85.89102866,118081,26005,361,3.06
"4","26007","Alpena County, Michigan",28431,5315,48.1,42603,18,7.5,30.2,0.5,0.6,0.3,0.1,95.2,1.4,"Alpena","Michigan",45.03477666,-83.62212411,28405,26007,142,5
"5","26009","Antrim County, Michigan",23301,4204,51.6,57256,29.6,4.2,19.8,0.4,0.4,0.6,0,94.2,2.3,"Antrim","Michigan",44.99690221,-85.15503082,23324,26009,70,3
"6","26011","Arenac County, Michigan",15013,2718,50,45679,12.9,6.8,30.5,0.2,0.4,1.3,0,94.5,2,"Arenac","Michigan",44.0636262,-83.89277559,14883,26011,71,4.77
"7","26013","Baraga County, Michigan",8337,1472,45.8,46581,15.2,4.1,33,0.5,8.7,10.2,0,72.7,1.7,"Baraga","Michigan",46.6720582,-88.36363591,8209,26013,55,6.7
"8","26015","Barry County, Michigan",61045,13487,42.2,65557,23,5.3,15.3,0.6,0.4,0.2,0,93.9,3.1,"Barry","Michigan",42.59513984,-85.30834519,61550,26015,173,2.81
"9","26017","Bay County, Michigan",103506,20887,43.6,48290,19.7,5.9,28.3,0.6,1.5,0.2,0.1,89.7,5.5,"Bay","Michigan",43.70639106,-83.98731479,103126,26017,600,5.82
"10","26019","Benzie County, Michigan",17703,3195,50.1,64257,32.5,4.9,15.6,0.4,0.3,1.5,0,93.6,2.5,"Benzie","Michigan",44.63899297,-86.01608482,17766,26019,70,3.94
"11","26021","Berrien County, Michigan",153797,33461,42.3,52500,27.6,6.2,32.9,1.6,14.1,0.4,0,74.2,5.6,"Berrien","Michigan",41.95447397,-86.4131308,153401,26021,581,3.79
"12","26023","Branch County, Michigan",43428,10109,41.3,52782,15,5.2,19.5,0.5,2.1,0.4,0,89.8,5,"Branch","Michigan",41.91600556,-85.05929476,43517,26023,188,4.32
"13","26025","Calhoun County, Michigan",133943,30462,40.1,50219,21.5,6.4,26.7,2.4,10.3,0.3,0,77,5.4,"Calhoun","Michigan",42.24633834,-85.00493569,134159,26025,595,4.44
"14","26027","Cass County, Michigan",51613,10692,45.5,57514,20.7,5.8,28,0.8,5,1,0,85.1,4,"Cass","Michigan",41.91522292,-85.99405727,51787,26027,148,2.86
"15","26029","Charlevoix County, Michigan",26197,4958,49.1,60433,32.4,4.8,19.9,0.4,0.5,1.4,0,93.6,2.1,"Charlevoix","Michigan",45.37790017,-85.19614053,26143,26029,60,2.3
"16","26031","Cheboygan County, Michigan",25435,4192,51.6,49624,21.8,7.4,29,0.4,0.6,1.8,0,91.2,1.5,"Cheboygan","Michigan",45.44787015,-84.50122149,25276,26031,108,4.27
"17","26033","Chippewa County, Michigan",37418,6795,40.8,50454,22.6,9,32.3,0.9,5.4,13.2,0.2,68.2,1.9,"Chippewa","Michigan",46.29552653,-84.54353449,37349,26033,105,2.81
"18","26035","Clare County, Michigan",30655,6081,47.7,41163,12.1,10,32.5,0.1,0.6,0.5,0,94.7,2.1,"Clare","Michigan",43.98794227,-84.8481986,30950,26035,159,5.14
"19","26037","Clinton County, Michigan",78957,17564,41.1,72490,32.1,3.4,11.7,1.3,1.8,0.1,0,89.1,4.6,"Clinton","Michigan",42.94400871,-84.60145248,79595,26037,211,2.65
"20","26039","Crawford County, Michigan",13904,2532,50.9,49987,19.1,7.4,28.6,0.8,0.3,0.3,0,94,2.1,"Crawford","Michigan",44.68255561,-84.61006219,14029,26039,31,2.21
"21","26041","Delta County, Michigan",35874,7053,47.5,47008,19.2,5.1,25,0.5,0.3,2.2,0,91.6,1.4,"Delta","Michigan",45.9048491,-86.9080745,35784,26041,161,4.5
"22","26043","Dickinson County, Michigan",25373,5009,47.4,51704,24.4,3.8,22.4,0.6,0.6,0.9,0,94.8,1.6,"Dickinson","Michigan",46.00999672,-87.86961634,25239,26043,113,4.48
"23","26045","Eaton County, Michigan",109730,22852,41.1,67440,29.2,4.6,18.4,2.4,6.8,0.4,0,82.4,5.5,"Eaton","Michigan",42.59599185,-84.83740035,110268,26045,419,3.8
"24","26047","Emmet County, Michigan",33175,6364,45.7,55947,34.7,4,17.3,0.5,0.7,2.6,0.1,89.4,1.8,"Emmet","Michigan",45.52625509,-84.89083249,33415,26047,93,2.78
"25","26049","Genesee County, Michigan",406770,91585,40.5,50269,21.5,8.9,36.4,1,19.5,0.3,0,71.7,3.6,"Genesee","Michigan",43.02244215,-83.70589709,405813,26049,1792,4.42
"26","26051","Gladwin County, Michigan",25312,4808,50.6,45957,14.3,6.2,30.9,0.5,0.4,0.3,0,95.3,1.8,"Gladwin","Michigan",43.98901072,-84.38774817,25449,26051,116,4.56
"27","26053","Gogebic County, Michigan",14715,2307,50,38625,19.8,4.5,27.4,0.5,3.1,2.7,0.2,90.6,1.6,"Gogebic","Michigan",46.40862701,-89.69377193,13975,26053,71,5.08
"28","26055","Grand Traverse County, Michigan",92640,18671,43,66457,38.4,3.8,17.4,0.6,0.8,0.8,0.1,92.5,2.9,"Grand Traverse","Michigan",44.69565625,-85.55585247,93088,26055,245,2.63
"29","26057","Gratiot County, Michigan",40692,7962,40,49795,16.5,4.8,25.2,0.4,5.7,0.2,0,85.6,6.3,"Gratiot","Michigan",43.29265605,-84.60505416,40711,26057,189,4.64
"30","26059","Hillsdale County, Michigan",45707,9888,42.1,51535,18.9,4.1,22.2,0.4,0.6,0.4,0,94.3,2.4,"Hillsdale","Michigan",41.88753639,-84.59312019,45605,26059,204,4.47
"31","26061","Houghton County, Michigan",35890,7209,33.2,44839,33.6,5.9,18.7,2.9,0.9,0.6,0.1,92,1.7,"Houghton","Michigan",46.89988536,-88.68495385,35684,26061,98,2.75
"32","26063","Huron County, Michigan",31105,5959,49.3,49541,16,5.1,21,0.6,0.4,0.2,0,94.8,2.5,"Huron","Michigan",43.83353985,-83.04078453,30981,26063,147,4.74
"33","26065","Ingham County, Michigan",290923,56922,32.4,55253,39.2,6.7,27.2,6.6,11.3,0.3,0,69.1,8,"Ingham","Michigan",42.59716886,-84.37472069,292406,26065,794,2.72
"34","26067","Ionia County, Michigan",64401,14353,38.6,60139,17,5.1,23.5,0.5,4.5,0.1,0,87.9,4.9,"Ionia","Michigan",42.94502238,-85.07413319,64697,26067,182,2.81
"35","26069","Iosco County, Michigan",25213,4141,52.9,42628,15.4,7.4,31.6,0.7,0.7,1,0,93.3,2.5,"Iosco","Michigan",44.35486835,-83.63484895,25127,26069,150,5.97
"36","26071","Iron County, Michigan",11099,1817,53.6,44183,18.9,5.2,27.2,0.5,1,1.1,0,94.2,2.2,"Iron","Michigan",46.20974132,-88.53136251,11066,26071,88,7.95
"37","26073","Isabella County, Michigan",70363,12067,28.7,46783,29.5,7.3,26.8,1.6,2.3,2.8,0,84.5,4,"Isabella","Michigan",43.64060976,-84.84664923,69872,26073,220,3.15
"38","26075","Jackson County, Michigan",158174,34039,41.6,54511,22.5,6.3,24.9,0.9,7.8,0.3,0,84.2,3.6,"Jackson","Michigan",42.24807035,-84.42258681,158510,26075,573,3.61
"39","26077","Kalamazoo County, Michigan",264322,56888,34.5,58836,39.8,6.2,23.4,2.4,10.6,0.2,0,76.8,5.1,"Kalamazoo","Michigan",42.24542231,-85.53038622,265066,26077,694,2.62
"40","26079","Kalkaska County, Michigan",17725,3704,44.3,49402,14.4,5.9,29.1,0.5,0.9,0.7,0,93.9,2.1,"Kalkaska","Michigan",44.68512729,-85.09085699,18038,26079,62,3.44
"41","26081","Kent County, Michigan",652617,157282,35.4,65722,36.8,4.6,19.8,3.1,9,0.2,0,72.9,10.7,"Kent","Michigan",43.03197711,-85.54934642,656955,26081,1579,2.4
"42","26083","Keweenaw County, Michigan",2102,306,58.3,51750,36.2,5.6,10.1,0,0.7,0.5,0,96.7,1.4,"Keweenaw","Michigan",47.63197653,-88.41434263,2116,26083,13,6.14
"43","26085","Lake County, Michigan",11805,1917,53.8,38356,13.5,5.8,34.2,0.2,7.8,0.9,0,85.2,2.6,"Lake","Michigan",43.99050893,-85.802173,11853,26085,39,3.29
"44","26087","Lapeer County, Michigan",87975,18087,44.2,65197,18.3,5.9,18.5,0.5,1.2,0.2,0,91.3,4.8,"Lapeer","Michigan",43.09052506,-83.22153148,87607,26087,425,4.85
"45","26089","Leelanau County, Michigan",21649,3446,54.6,67330,46.7,4.1,13,0.5,0.3,2.8,0.2,89.9,4.2,"Leelanau","Michigan",44.94430054,-85.80150326,21761,26089,59,2.71
"46","26091","Lenawee County, Michigan",98310,20564,42.1,57314,21.1,4.8,21.1,0.3,2.2,0.2,0,86.2,8.3,"Lenawee","Michigan",41.89475156,-84.06603727,98451,26091,330,3.35
"47","26093","Livingston County, Michigan",190832,40612,43.7,84274,36.5,3.8,10.2,1,0.6,0.2,0.1,94,2.5,"Livingston","Michigan",42.60302282,-83.91297209,191995,26093,471,2.45
"48","26095","Luce County, Michigan",6286,1019,45.2,50000,19.6,6.6,26.2,0.5,7.7,6.2,0.2,77.6,2.5,"Luce","Michigan",46.47227431,-85.54471223,6229,26095,16,2.57
"49","26097","Mackinac County, Michigan",10781,1680,53.1,50058,24,9.2,29.2,0.7,3.3,16.4,0.2,73,1.9,"Mackinac","Michigan",46.07028979,-85.04980537,10799,26097,31,2.87
"50","26099","Macomb County, Michigan",870893,183377,41,64641,25.9,5.6,22.1,4.2,11.8,0.2,0.1,78.1,2.7,"Macomb","Michigan",42.69158356,-82.92752801,873972,26099,4081,4.67
"51","26101","Manistee County, Michigan",24539,4249,49.5,51658,22.3,7.3,24.8,0.3,2.7,1.5,0,88.6,3.4,"Manistee","Michigan",44.33352407,-86.05626916,24558,26101,94,3.83
"52","26103","Marquette County, Michigan",66403,11809,39.2,54585,34,5.8,22.6,0.8,1.5,0.9,0,92.1,1.6,"Marquette","Michigan",46.4338914,-87.64043701,66699,26103,139,2.08
"53","26105","Mason County, Michigan",29062,5870,46.3,51568,22,4.5,25.6,0.6,1,0.8,0,91.3,4.6,"Mason","Michigan",43.99509218,-86.24988902,29144,26105,96,3.29
"54","26107","Mecosta County, Michigan",43481,8026,38,45797,22.9,6.2,24.3,0.9,3,0.7,0,90.7,2.4,"Mecosta","Michigan",43.64064262,-85.32463223,43453,26107,112,2.58
"55","26109","Menominee County, Michigan",22902,4182,49.2,48548,17.6,5.4,20.9,0.4,0.6,1.9,0,92.9,1.9,"Menominee","Michigan",45.58038692,-87.55370409,22780,26109,72,3.16
"56","26111","Midland County, Michigan",83445,17831,41.7,64078,34.8,4.5,20,2.2,1.4,0.5,0,91,2.9,"Midland","Michigan",43.64330771,-84.38804374,83156,26111,233,2.8
"57","26113","Missaukee County, Michigan",15075,3446,43.3,47370,15.8,7.9,25.1,0.2,0.5,0.2,0,93.5,3.1,"Missaukee","Michigan",44.33772443,-85.09256478,15118,26113,63,4.17
"58","26115","Monroe County, Michigan",150000,32003,42.8,65453,21,4.9,21,0.5,2.4,0.3,0,90.9,3.7,"Monroe","Michigan",41.92734151,-83.53749864,150500,26115,486,3.23
"59","26117","Montcalm County, Michigan",63516,14144,40.8,52390,14.5,4,23.9,0.3,2.1,0.6,0,91.2,3.6,"Montcalm","Michigan",43.31082541,-85.15252824,63888,26117,217,3.4
"60","26119","Montmorency County, Michigan",9270,1356,56,42160,14.8,7.2,31.1,0.1,0.3,0.9,0,95.6,1.4,"Montmorency","Michigan",45.0275929,-84.12696227,9328,26119,48,5.15
"61","26121","Muskegon County, Michigan",173679,39962,39.3,53478,19.7,7.2,28.2,0.6,13.2,0.6,0,76.1,5.8,"Muskegon","Michigan",43.29123859,-86.15176712,173566,26121,647,3.73
"62","26123","Newaygo County, Michigan",48687,10938,42.4,51470,17.2,5.2,28.7,0.4,1,0.5,0,90,5.9,"Newaygo","Michigan",43.554374,-85.80070107,48980,26123,161,3.29
"63","26125","Oakland County, Michigan",1255340,262659,41,81587,48,4.7,12.9,7.7,13.2,0.2,0,71.1,4.3,"Oakland","Michigan",42.66090111,-83.38595416,1257584,26125,3972,3.16
"64","26127","Oceana County, Michigan",26545,5979,43.6,51161,19.6,6,29,0.1,1,0.8,0,81.4,15,"Oceana","Michigan",43.64124435,-86.26726673,26467,26127,91,3.44
"65","26129","Ogemaw County, Michigan",20895,3833,50.6,41752,12.3,8,41.3,0.7,0.4,0.7,0,94.2,2.2,"Ogemaw","Michigan",44.33481032,-84.12725175,20997,26129,108,5.14
"66","26131","Ontonagon County, Michigan",5802,682,59.1,41776,15.3,5.9,23.2,0.5,0.4,0.6,0.1,94.8,1.6,"Ontonagon","Michigan",46.6652262,-89.31390481,5720,26131,40,6.99
"67","26133","Osceola County, Michigan",23323,5008,44.3,46969,15,7.6,24.1,0.4,1.2,0.7,0,94.2,2,"Osceola","Michigan",43.98992088,-85.32566756,23460,26133,83,3.54
